title,year,filename,poison,suicide,accident,victim,clue,weapon,knife,accused,guilty,murderer,criminal,butler,servant,enemy,nephew,niece,motive,alibi,blackmail,jealousy,garden,study,locked,key,frightened
Murder in Mesopotamia,1936,19_Murder in Mesopotamia_1936,0.0,0.13232375211350436,0.014702639123722707,0.08821583474233625,0.07351319561861354,0.029405278247445415,0.07351319561861354,0.0,0.029405278247445415,0.5145923693302947,0.08821583474233625,0.0,0.0,0.014702639123722707,0.0,0.0,0.14702639123722708,0.04410791737116813,0.014702639123722707,0.05881055649489083,0.0,0.029405278247445415,0.10291847386605896,0.11762111298978166,0.07351319561861354
Cards on the Table,1936,20_Cards on the Table_1936,0.26277065377338654,0.15766239226403195,0.29780674094317144,0.12262630509424707,0.15766239226403195,0.07007217433956976,0.0875902179244622,0.03503608716978488,0.1751804358489244,0.437951089622311,0.0875902179244622,0.14014434867913952,0.0,0.0,0.0,0.0,0.29780674094317144,0.01751804358489244,0.03503608716978488,0.0,0.15766239226403195,0.07007217433956976,0.0,0.01751804358489244,0.10510826150935464
Dumb Witness,1937,21_Dumb Witness_1937,0.15941759438850067,0.03985439859712517,0.46496798363312697,0.05313919812950023,0.03985439859712517,0.0,0.0,0.013284799532375057,0.10627839625900046,0.2789807901798762,0.06642399766187529,0.013284799532375057,0.026569599064750114,0.0,0.06642399766187529,0.06642399766187529,0.03985439859712517,0.013284799532375057,0.013284799532375057,0.0,0.15941759438850067,0.026569599064750114,0.03985439859712517,0.07970879719425034,0.06642399766187529
Death on the Nile,1937,22_Death on the Nile_1937,0.0,0.01274047649382087,0.14014524143202955,0.01274047649382087,0.03822142948146261,0.05096190597528348,0.06370238246910434,0.01274047649382087,0.06370238246910434,0.394954771308447,0.05096190597528348,0.01274047649382087,0.0,0.03822142948146261,0.01274047649382087,0.0,0.25480952987641736,0.05096190597528348,0.02548095298764174,0.01274047649382087,0.07644285896292521,0.03822142948146261,0.03822142948146261,0.02548095298764174,0.07644285896292521
Appointment with Death,1938,23_Appointment with Death_1938,0.2244345052020712,0.09618621651517338,0.03206207217172446,0.14427932477276006,0.04809310825758669,0.0,0.01603103608586223,0.01603103608586223,0.24046554128793343,0.1603103608586223,0.08015518042931115,0.0,0.2725276134596579,0.01603103608586223,0.0,0.03206207217172446,0.20840346911620897,0.01603103608586223,0.0,0.03206207217172446,0.03206207217172446,0.09618621651517338,0.01603103608586223,0.01603103608586223,0.04809310825758669
Hercule Poirot's Christmas,1938,24_Hercule Poirot's Christmas_1938,0.016499744253964062,0.1319979540317125,0.0,0.032999488507928124,0.016499744253964062,0.08249872126982032,0.032999488507928124,0.016499744253964062,0.06599897701585625,0.3134951408253172,0.09899846552378438,0.3794941178411735,0.04949923276189219,0.032999488507928124,0.0,0.11549820977774845,0.2309964195554969,0.263995908063425,0.032999488507928124,0.016499744253964062,0.263995908063425,0.09899846552378438,0.2804956523173891,0.29699539657135315,0.09899846552378438
Murder Is Easy,1939,25_Murder Is Easy_1939,0.08563696776624534,0.0513821806597472,0.256910903298736,0.06850957421299626,0.0,0.0,0.22265611619223785,0.0,0.0,0.4453122323844757,0.11989175487274346,0.03425478710649813,0.0513821806597472,0.0,0.0,0.017127393553249066,0.27403829685198505,0.0,0.06850957421299626,0.017127393553249066,0.17127393553249068,0.0513821806597472,0.06850957421299626,0.03425478710649813,0.06850957421299626
And Then There Were None,1939,26_And Then There Were None_1939,0.07406584453579232,0.1851646113394808,0.12961522793763655,0.03703292226789616,0.07406584453579232,0.03703292226789616,0.03703292226789616,0.12961522793763655,0.22219753360737696,0.2962633781431693,0.14813168907158464,0.12961522793763655,0.03703292226789616,0.0,0.01851646113394808,0.01851646113394808,0.05554938340184424,0.03703292226789616,0.0,0.0,0.03703292226789616,0.01851646113394808,0.22219753360737696,0.11109876680368848,0.1851646113394808
"One, Two, Buckle My Shoe",1940,"27_One, Two, Buckle My Shoe_1940",0.03727032164287578,0.4472438597145093,0.07454064328575156,0.07454064328575156,0.03727032164287578,0.0,0.01863516082143789,0.03727032164287578,0.09317580410718944,0.18635160821437888,0.09317580410718944,0.0,0.01863516082143789,0.01863516082143789,0.0,0.14908128657150313,0.11181096492862733,0.0,0.01863516082143789,0.0,0.4658790205359472,0.0,0.0,0.05590548246431366,0.0
Sad Cypress,1940,28_Sad Cypress_1940,0.2308279621442142,0.19531596796818124,0.08877998544008238,0.01775599708801648,0.03551199417603296,0.01775599708801648,0.01775599708801648,0.5504359097285108,0.3906319359363625,0.0,0.01775599708801648,0.05326799126404943,0.01775599708801648,0.03551199417603296,0.10653598252809886,0.15980397379214828,0.44389992720041194,0.01775599708801648,0.01775599708801648,0.08877998544008238,0.14204797670413183,0.01775599708801648,0.0,0.01775599708801648,0.01775599708801648
